event_id,consumer_id,type,shard_scope,span_start,span_end,duration_minutes,severity_pct,recovering,mechanism,detection_sla_minutes,expected_alert
consumer_000_ev004,consumer_000,benign_burst,all,2026-01-01 00:00:00,2026-01-01 00:02:00,2.0,0.0,True,priority_probe_burst,60,False
consumer_000_ev006,consumer_000,artifact,all,2026-01-01 00:00:00,2026-01-01 00:01:00,1.0,0.0,True,priority_probe_benign_alignment,60,False
consumer_000_ev002,consumer_000,true_loss_partial,shard_000_1,2026-01-01 00:26:30,2026-01-01 02:44:30,138.0,36.759,False,shard_subset_loss,60,True
consumer_000_ev007,consumer_000,artifact,all,2026-01-01 03:03:30,2026-01-01 03:03:50,0.33,0.0,True,scrape_misalignment,60,False
consumer_000_ev001,consumer_000,true_loss_persistent,all,2026-01-01 04:35:50,2026-01-01 05:51:50,76.0,1.037,False,persistent_skim,60,True
consumer_000_ev003,consumer_000,benign_burst,all,2026-01-01 04:35:50,2026-01-01 04:45:50,10.0,0.0,True,traffic_burst,60,False
consumer_000_ev005,consumer_000,artifact,all,2026-01-01 05:50:50,2026-01-01 05:51:50,1.0,0.0,True,priority_probe_alignment,60,False
consumer_002_ev001,consumer_002,true_loss_partial,"shard_002_0,shard_002_1",2026-01-01 03:12:40,2026-01-01 04:58:40,106.0,20.314,False,shard_subset_loss,60,True
consumer_003_ev003,consumer_003,benign_burst,all,2026-01-01 00:00:00,2026-01-01 00:02:00,2.0,0.0,True,priority_probe_burst,60,False
consumer_003_ev005,consumer_003,artifact,all,2026-01-01 00:00:00,2026-01-01 00:01:00,1.0,0.0,True,priority_probe_benign_alignment,60,False
consumer_003_ev001,consumer_003,true_loss_persistent,all,2026-01-01 02:17:20,2026-01-01 03:52:20,95.0,2.605,False,persistent_skim,60,True
consumer_003_ev002,consumer_003,benign_burst,all,2026-01-01 02:17:20,2026-01-01 02:53:20,36.0,0.0,True,traffic_burst,60,False
consumer_003_ev004,consumer_003,artifact,all,2026-01-01 03:51:20,2026-01-01 03:52:20,1.0,0.0,True,priority_probe_alignment,60,False
consumer_004_ev004,consumer_004,benign_burst,all,2026-01-01 00:00:00,2026-01-01 00:02:00,2.0,0.0,True,priority_probe_burst,60,False
consumer_004_ev006,consumer_004,artifact,all,2026-01-01 00:00:00,2026-01-01 00:01:00,1.0,0.0,True,priority_probe_benign_alignment,60,False
consumer_004_ev001,consumer_004,true_loss_creeping,all,2026-01-01 01:55:30,2026-01-01 04:18:30,143.0,5.56,False,creeping_skim,60,True
consumer_004_ev002,consumer_004,benign_burst,all,2026-01-01 01:55:30,2026-01-01 02:33:30,38.0,0.0,True,traffic_burst,60,False
consumer_004_ev005,consumer_004,artifact,all,2026-01-01 04:17:30,2026-01-01 04:18:30,1.0,0.0,True,priority_probe_alignment,60,False
consumer_004_ev003,consumer_004,benign_burst,all,2026-01-01 05:21:30,2026-01-01 05:48:30,27.0,0.0,True,traffic_burst,60,False
consumer_005_ev005,consumer_005,benign_burst,all,2026-01-01 00:00:00,2026-01-01 00:02:00,2.0,0.0,True,priority_probe_burst,60,False
consumer_005_ev007,consumer_005,artifact,all,2026-01-01 00:00:00,2026-01-01 00:01:00,1.0,0.0,True,priority_probe_benign_alignment,60,False
consumer_005_ev004,consumer_005,benign_burst,all,2026-01-01 00:25:00,2026-01-01 01:02:00,37.0,0.0,True,traffic_burst,60,False
consumer_005_ev001,consumer_005,true_loss_partial,shard_005_0,2026-01-01 02:36:20,2026-01-01 03:56:20,80.0,25.137,False,shard_subset_loss,60,True
consumer_005_ev002,consumer_005,benign_burst,all,2026-01-01 02:36:20,2026-01-01 03:02:20,26.0,0.0,True,traffic_burst,60,False
consumer_005_ev006,consumer_005,artifact,all,2026-01-01 03:55:20,2026-01-01 03:56:20,1.0,0.0,True,priority_probe_alignment,60,False
consumer_005_ev008,consumer_005,artifact,all,2026-01-01 05:29:30,2026-01-01 05:30:10,0.67,0.0,True,scrape_misalignment,60,False
consumer_005_ev003,consumer_005,benign_burst,all,2026-01-01 05:42:00,2026-01-01 05:57:00,15.0,0.0,True,traffic_burst,60,False
